Fri May  1 00:00:01 2020
4	13.18	5.43	13.19	12.66	0.02	0.74	1.08			19.85
9	13.19	5.43	13.19	12.67	0.02	0.74	1.07			19.83
14	13.18	5.43	13.19	12.66	0.01	0.78	1.12			19.86
19	13.18	5.43	13.18	12.66	0.01	0.80	1.13			19.85
24	13.18	5.43	13.18	12.66	0.02	0.80	1.13			19.84
29	13.18	5.43	13.18	12.66	0.01	0.80	1.12			19.84
34	13.18	5.43	13.18	12.66	0.02	0.79	1.13			19.83
39	13.18	5.43	13.19	12.67	0.01	0.77	1.11			19.83
44	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.83
49	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.83
54	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.84
59	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.82
64	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.82
69	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.82
74	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.82
79	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.81
84	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.81
89	13.19	5.43	13.19	12.67	0.01	0.72	1.06			19.81
94	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.82
99	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.80
104	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.80
109	13.18	5.43	13.19	12.67	0.02	0.72	1.07			19.80
114	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.80
119	13.18	5.43	13.19	12.67	0.02	0.73	1.06			19.81
124	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.79
129	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.80
134	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.78
139	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.79
144	13.18	5.43	13.19	12.67	0.02	0.72	1.07			19.79
149	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.78
154	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.78
159	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.78
164	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.78
169	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.77
174	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.77
179	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.75
184	13.18	5.43	13.19	12.67	0.01	0.73	1.06			19.76
189	13.18	5.43	13.19	12.67	0.02	0.73	1.06			19.76
194	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.75
199	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.74
204	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.75
209	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.75
214	13.18	5.43	13.19	12.67	0.02	0.72	1.07			19.74
219	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.75
224	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.73
229	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.73
234	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.73
239	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.73
244	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.73
249	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.71
254	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.71
259	13.19	5.43	13.19	12.67	0.02	0.73	1.07			19.72
264	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.70
269	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.71
274	13.19	5.43	13.19	12.67	0.02	0.72	1.07			19.69
279	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.70
284	13.19	5.43	13.19	12.67	0.02	0.72	1.07			19.70
289	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.70
294	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.70
299	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.68
304	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.69
309	13.18	5.43	13.19	12.67	0.01	0.73	1.07			19.69
314	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.68
319	13.18	5.43	13.19	12.67	0.02	0.73	1.06			19.68
324	13.18	5.43	13.19	12.67	0.01	0.73	1.07			19.68
329	13.19	5.43	13.19	12.67	0.01	0.73	1.06			19.68
334	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.66
339	13.19	5.43	13.19	12.67	0.02	0.73	1.07			19.67
344	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.67
349	13.18	5.43	13.19	12.67	0.02	0.73	1.06			19.66
354	13.19	5.43	13.19	12.67	0.02	0.72	1.06			19.66
359	13.18	5.43	13.19	12.67	0.01	0.72	1.07			19.64
364	13.18	5.43	13.19	12.67	0.01	0.72	1.07			19.64
369	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.65
374	13.18	5.43	13.19	12.67	0.01	0.72	1.06			19.64
379	13.18	5.43	13.19	12.67	0.02	0.72	1.06			19.64
384	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.63
389	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.63
394	13.19	5.43	13.19	12.67	0.02	0.73	1.06			19.62
399	13.18	5.43	13.19	12.67	0.02	0.73	1.07			19.62
404	13.18	5.43	13.19	12.67	0.02	0.73	1.06			19.62
